"","SoortMisdrijf","SoortMisdrijf_label","WijkenEnBuurten","WijkenEnBuurten_label","Perioden","Perioden_Date","Perioden_freq","Perioden_label","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
"1","0.0.0 ","Totaal misdrijven","BU16800000","Annen","2023JJ00",2023-01-01,"Y","2023",58,"Aa en Hunze                   ","Buurt   "
"2","0.0.0 ","Totaal misdrijven","BU16800009","Verspreide huizen Annen","2023JJ00",2023-01-01,"Y","2023",6,"Aa en Hunze                   ","Buurt   "
"3","0.0.0 ","Totaal misdrijven","BU16800100","Eext","2023JJ00",2023-01-01,"Y","2023",21,"Aa en Hunze                   ","Buurt   "
"4","0.0.0 ","Totaal misdrijven","BU16800109","Verspreide huizen Eext","2023JJ00",2023-01-01,"Y","2023",13,"Aa en Hunze                   ","Buurt   "
"5","0.0.0 ","Totaal misdrijven","BU16800200","Anloo","2023JJ00",2023-01-01,"Y","2023",9,"Aa en Hunze                   ","Buurt   "
"6","0.0.0 ","Totaal misdrijven","BU16800209","Verspreide huizen Anloo","2023JJ00",2023-01-01,"Y","2023",3,"Aa en Hunze                   ","Buurt   "
"7","0.0.0 ","Totaal misdrijven","BU16800300","Gasteren","2023JJ00",2023-01-01,"Y","2023",5,"Aa en Hunze                   ","Buurt   "
"8","0.0.0 ","Totaal misdrijven","BU16800309","Verspreide huizen Gasteren","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"9","0.0.0 ","Totaal misdrijven","BU16800400","Anderen","2023JJ00",2023-01-01,"Y","2023",2,"Aa en Hunze                   ","Buurt   "
"10","0.0.0 ","Totaal misdrijven","BU16800409","Verspreide huizen Anderen","2023JJ00",2023-01-01,"Y","2023",4,"Aa en Hunze                   ","Buurt   "
"11","0.0.0 ","Totaal misdrijven","BU16800500","Schipborg","2023JJ00",2023-01-01,"Y","2023",14,"Aa en Hunze                   ","Buurt   "
"12","0.0.0 ","Totaal misdrijven","BU16800509","Verspreide huizen Schipborg","2023JJ00",2023-01-01,"Y","2023",6,"Aa en Hunze                   ","Buurt   "
"13","0.0.0 ","Totaal misdrijven","BU16800600","Eexterveen","2023JJ00",2023-01-01,"Y","2023",7,"Aa en Hunze                   ","Buurt   "
"14","0.0.0 ","Totaal misdrijven","BU16800609","Verspreide huizen Eexterveen","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"15","0.0.0 ","Totaal misdrijven","BU16800700","Spijkerboor","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"16","0.0.0 ","Totaal misdrijven","BU16800709","Verspreide huizen Spijkerboor","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"17","0.0.0 ","Totaal misdrijven","BU16800800","Nieuw-Annerveen","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"18","0.0.0 ","Totaal misdrijven","BU16800809","Verspreide huizen Nieuw-Annerveen","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"19","0.0.0 ","Totaal misdrijven","BU16800900","Oud-Annerveen","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"20","0.0.0 ","Totaal misdrijven","BU16800909","Verspreide huizen Oud-Annerveen","2023JJ00",2023-01-01,"Y","2023",2,"Aa en Hunze                   ","Buurt   "
"21","0.0.0 ","Totaal misdrijven","BU16801100","Annerveenschekanaal","2023JJ00",2023-01-01,"Y","2023",9,"Aa en Hunze                   ","Buurt   "
"22","0.0.0 ","Totaal misdrijven","BU16801109","Verspreide huizen Annerveenschekanaal","2023JJ00",2023-01-01,"Y","2023",3,"Aa en Hunze                   ","Buurt   "
"23","0.0.0 ","Totaal misdrijven","BU16801200","Eexterveenschekanaal","2023JJ00",2023-01-01,"Y","2023",7,"Aa en Hunze                   ","Buurt   "
"24","0.0.0 ","Totaal misdrijven","BU16801209","Verspreide huizen Eexterveenschekanaal","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"25","0.0.0 ","Totaal misdrijven","BU16801300","Eexterzandvoort","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"26","0.0.0 ","Totaal misdrijven","BU16801309","Verspreide huizen Eexterzandvoort","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"27","0.0.0 ","Totaal misdrijven","BU16801400","Gasselte","2023JJ00",2023-01-01,"Y","2023",28,"Aa en Hunze                   ","Buurt   "
"28","0.0.0 ","Totaal misdrijven","BU16801401","Kostvlies","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"29","0.0.0 ","Totaal misdrijven","BU16801409","Verspreide huizen Gasselte","2023JJ00",2023-01-01,"Y","2023",36,"Aa en Hunze                   ","Buurt   "
"30","0.0.0 ","Totaal misdrijven","BU16801500","Gasselternijveen","2023JJ00",2023-01-01,"Y","2023",27,"Aa en Hunze                   ","Buurt   "
"31","0.0.0 ","Totaal misdrijven","BU16801501","Gasselterboerveen","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"32","0.0.0 ","Totaal misdrijven","BU16801509","Verspreide huizen Gasselternijveen","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"33","0.0.0 ","Totaal misdrijven","BU16801600","Gasselternijveenschemond","2023JJ00",2023-01-01,"Y","2023",17,"Aa en Hunze                   ","Buurt   "
"34","0.0.0 ","Totaal misdrijven","BU16801601","Gasselterboerveenschemond","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
"35","0.0.0 ","Totaal misdrijven","BU16801609","Verspr.h. Gasselternijveenschemond","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"36","0.0.0 ","Totaal misdrijven","BU16801700","Gieten","2023JJ00",2023-01-01,"Y","2023",148,"Aa en Hunze                   ","Buurt   "
"37","0.0.0 ","Totaal misdrijven","BU16801709","Verspreide huizen Gieten","2023JJ00",2023-01-01,"Y","2023",13,"Aa en Hunze                   ","Buurt   "
"38","0.0.0 ","Totaal misdrijven","BU16801800","Gieterveen","2023JJ00",2023-01-01,"Y","2023",9,"Aa en Hunze                   ","Buurt   "
"39","0.0.0 ","Totaal misdrijven","BU16801801","Bonnerveen","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"40","0.0.0 ","Totaal misdrijven","BU16801802","Nieuwediep","2023JJ00",2023-01-01,"Y","2023",8,"Aa en Hunze                   ","Buurt   "
"41","0.0.0 ","Totaal misdrijven","BU16801809","Verspreide huizen Gieterveen","2023JJ00",2023-01-01,"Y","2023",14,"Aa en Hunze                   ","Buurt   "
"42","0.0.0 ","Totaal misdrijven","BU16801900","Rolde","2023JJ00",2023-01-01,"Y","2023",99,"Aa en Hunze                   ","Buurt   "
"43","0.0.0 ","Totaal misdrijven","BU16801901","Ballo","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"44","0.0.0 ","Totaal misdrijven","BU16801902","Nijlande","2023JJ00",2023-01-01,"Y","2023",0,"                              ","        "
"45","0.0.0 ","Totaal misdrijven","BU16801903","Deurze","2023JJ00",2023-01-01,"Y","2023",1,"Aa en Hunze                   ","Buurt   "
