"ID","SoortMisdrijf","WijkenEnBuurten","Perioden","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
47,"0.0.0 ","BU16800000","2023JJ00",58,"Aa en Hunze                   ","Buurt   "
59,"0.0.0 ","BU16800009","2023JJ00",6,"Aa en Hunze                   ","Buurt   "
83,"0.0.0 ","BU16800100","2023JJ00",21,"Aa en Hunze                   ","Buurt   "
95,"0.0.0 ","BU16800109","2023JJ00",13,"Aa en Hunze                   ","Buurt   "
119,"0.0.0 ","BU16800200","2023JJ00",9,"Aa en Hunze                   ","Buurt   "
131,"0.0.0 ","BU16800209","2023JJ00",3,"Aa en Hunze                   ","Buurt   "
155,"0.0.0 ","BU16800300","2023JJ00",5,"Aa en Hunze                   ","Buurt   "
167,"0.0.0 ","BU16800309","2023JJ00",0,"                              ","        "
191,"0.0.0 ","BU16800400","2023JJ00",2,"Aa en Hunze                   ","Buurt   "
203,"0.0.0 ","BU16800409","2023JJ00",4,"Aa en Hunze                   ","Buurt   "
227,"0.0.0 ","BU16800500","2023JJ00",14,"Aa en Hunze                   ","Buurt   "
239,"0.0.0 ","BU16800509","2023JJ00",6,"Aa en Hunze                   ","Buurt   "
263,"0.0.0 ","BU16800600","2023JJ00",7,"Aa en Hunze                   ","Buurt   "
275,"0.0.0 ","BU16800609","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
299,"0.0.0 ","BU16800700","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
311,"0.0.0 ","BU16800709","2023JJ00",0,"                              ","        "
335,"0.0.0 ","BU16800800","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
347,"0.0.0 ","BU16800809","2023JJ00",0,"                              ","        "
371,"0.0.0 ","BU16800900","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
383,"0.0.0 ","BU16800909","2023JJ00",2,"Aa en Hunze                   ","Buurt   "
407,"0.0.0 ","BU16801100","2023JJ00",9,"Aa en Hunze                   ","Buurt   "
419,"0.0.0 ","BU16801109","2023JJ00",3,"Aa en Hunze                   ","Buurt   "
443,"0.0.0 ","BU16801200","2023JJ00",7,"Aa en Hunze                   ","Buurt   "
455,"0.0.0 ","BU16801209","2023JJ00",0,"                              ","        "
479,"0.0.0 ","BU16801300","2023JJ00",0,"                              ","        "
491,"0.0.0 ","BU16801309","2023JJ00",0,"                              ","        "
515,"0.0.0 ","BU16801400","2023JJ00",28,"Aa en Hunze                   ","Buurt   "
527,"0.0.0 ","BU16801401","2023JJ00",0,"                              ","        "
539,"0.0.0 ","BU16801409","2023JJ00",36,"Aa en Hunze                   ","Buurt   "
563,"0.0.0 ","BU16801500","2023JJ00",27,"Aa en Hunze                   ","Buurt   "
575,"0.0.0 ","BU16801501","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
587,"0.0.0 ","BU16801509","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
611,"0.0.0 ","BU16801600","2023JJ00",17,"Aa en Hunze                   ","Buurt   "
623,"0.0.0 ","BU16801601","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
635,"0.0.0 ","BU16801609","2023JJ00",0,"                              ","        "
659,"0.0.0 ","BU16801700","2023JJ00",148,"Aa en Hunze                   ","Buurt   "
671,"0.0.0 ","BU16801709","2023JJ00",13,"Aa en Hunze                   ","Buurt   "
695,"0.0.0 ","BU16801800","2023JJ00",9,"Aa en Hunze                   ","Buurt   "
707,"0.0.0 ","BU16801801","2023JJ00",0,"                              ","        "
719,"0.0.0 ","BU16801802","2023JJ00",8,"Aa en Hunze                   ","Buurt   "
731,"0.0.0 ","BU16801809","2023JJ00",14,"Aa en Hunze                   ","Buurt   "
755,"0.0.0 ","BU16801900","2023JJ00",99,"Aa en Hunze                   ","Buurt   "
767,"0.0.0 ","BU16801901","2023JJ00",0,"                              ","        "
779,"0.0.0 ","BU16801902","2023JJ00",0,"                              ","        "
791,"0.0.0 ","BU16801903","2023JJ00",1,"Aa en Hunze                   ","Buurt   "
803,"0.0.0 ","BU16801908","2023JJ00",35,"Aa en Hunze                   ","Buurt   "
815,"0.0.0 ","BU16801909","2023JJ00",6,"Aa en Hunze                   ","Buurt   "
839,"0.0.0 ","BU16802000","2023JJ00",8,"Aa en Hunze                   ","Buurt   "
