municipality_id,province_lab
0141,Overijssel
0717,Zeeland
0109,Drenthe
0358,Noord-Holland
0394,Noord-Holland
0297,Gelderland
1970,Friesland
0197,Gelderland
0569,Zuid-Holland
0106,Drenthe
1714,Zeeland
0484,Zuid-Holland
1659,Noord-Brabant
0432,Noord-Holland
1900,Friesland
0420,Noord-Holland
1930,Zuid-Holland
0736,Utrecht
1949,Friesland
0203,Gelderland
0327,Utrecht
1924,Zuid-Holland
0879,Noord-Brabant
1960,Gelderland
1966,Groningen
1969,Groningen
0377,Noord-Holland
0299,Gelderland
0225,Gelderland
0893,Limburg
1774,Overijssel
0383,Noord-Holland
0074,Friesland
1940,Friesland
0183,Overijssel
0482,Zuid-Holland
0080,Friesland
0737,Friesland
0263,Gelderland
0361,Noord-Holland
0262,Gelderland
0034,Flevoland
1959,Noord-Brabant
0668,Gelderland
1723,Noord-Brabant
1699,Drenthe
0037,Groningen
1690,Drenthe
0118,Drenthe
1735,Overijssel
1961,Utrecht
1680,Drenthe
1507,Limburg
1581,Utrecht
0307,Utrecht
1931,Zuid-Holland
0362,Noord-Holland
1954,Limburg
0363,Noord-Holland
0437,Noord-Holland
1734,Gelderland
0160,Overijssel
1705,Gelderland
1696,Noord-Holland
1911,Noord-Holland
1701,Drenthe
1950,Groningen
0200,Gelderland
0085,Friesland
1979,Groningen
0983,Limburg
1978,Zuid-Holland
0687,Zeeland
0202,Gelderland
0175,Overijssel
0214,Gelderland
0479,Noord-Holland
0743,Noord-Brabant
0059,Friesland
0355,Utrecht
1598,Noord-Holland
0715,Zeeland
1955,Gelderland
0093,Friesland
1876,Gelderland
0654,Zeeland
0744,Noord-Brabant
1894,Limburg
1708,Overijssel
0308,Utrecht
1895,Groningen
1640,Limburg
1652,Noord-Brabant
0086,Friesland
0296,Gelderland
1731,Drenthe
0060,Friesland
0965,Limburg
1903,Limburg
0171,Flevoland
0489,Zuid-Holland
0114,Drenthe
0150,Overijssel
0758,Noord-Brabant
1641,Limburg
1945,Gelderland
0888,Limburg
1982,Noord-Brabant
0889,Limburg
0385,Noord-Holland
1859,Gelderland
0228,Gelderland
0331,Utrecht
0473,Noord-Holland
0994,Limburg
1724,Noord-Brabant
0373,Noord-Holland
0748,Noord-Brabant
0828,Noord-Brabant
1621,Zuid-Holland
0855,Noord-Brabant
0845,Noord-Brabant
0753,Noord-Brabant
0168,Overijssel
0209,Gelderland
1729,Limburg
0375,Noord-Holland
0303,Flevoland
0798,Noord-Brabant
0310,Utrecht
1728,Noord-Brabant
0376,Noord-Holland
0098,Friesland
0984,Limburg
0405,Noord-Holland
1901,Zuid-Holland
0755,Noord-Brabant
0014,Groningen
0090,Friesland
1681,Drenthe
0047,Groningen
1952,Groningen
1883,Limburg
0147,Overijssel
1655,Noord-Brabant
0599,Zuid-Holland
0532,Noord-Holland
0757,Noord-Brabant
1509,Gelderland
1904,Utrecht
1992,Zuid-Holland
0852,Noord-Holland
1980,Noord-Holland
0119,Drenthe
0177,Overijssel
1891,Friesland
1676,Zeeland
1700,Overijssel
0213,Gelderland
0899,Limburg
1706,Noord-Brabant
0938,Limburg
1730,Drenthe
0312,Utrecht
0313,Utrecht
0448,Noord-Holland
0441,Noord-Holland
1942,Noord-Holland
0502,Zuid-Holland
0677,Zeeland
1695,Zeeland
0352,Utrecht
0865,Noord-Brabant
0216,Gelderland
0163,Overijssel
0512,Zuid-Holland
0148,Overijssel
1926,Zuid-Holland
0503,Zuid-Holland
0762,Noord-Brabant
0173,Overijssel
0384,Noord-Holland
0275,Gelderland
0851,Noord-Brabant
1740,Gelderland
0221,Gelderland
0222,Gelderland
0797,Noord-Brabant
0766,Noord-Brabant
0230,Gelderland
0274,Gelderland
0505,Zuid-Holland
0826,Noord-Brabant
0453,Noord-Holland
1719,Noord-Brabant
0226,Gelderland
0770,Noord-Brabant
1711,Limburg
0317,Utrecht
0772,Noord-Brabant
0971,Limburg
0302,Gelderland
0340,Utrecht
0232,Gelderland
0388,Noord-Holland
0153,Overijssel
0189,Overijssel
0233,Gelderland
1948,Noord-Brabant
0777,Noord-Brabant
0928,Limburg
1709,Noord-Brabant
0779,Noord-Brabant
0638,Zuid-Holland
1771,Noord-Brabant
1896,Overijssel
0907,Limburg
0784,Noord-Brabant
0664,Zeeland
0785,Noord-Brabant
0513,Zuid-Holland
1963,Zuid-Holland
0321,Utrecht
0166,Overijssel
0518,Zuid-Holland
1783,Zuid-Holland
1586,Gelderland
0158,Overijssel
0824,Noord-Brabant
0392,Noord-Holland
0344,Utrecht
0703,Zeeland
0243,Gelderland
0523,Zuid-Holland
0072,Friesland
0632,Utrecht
0244,Gelderland
0269,Gelderland
0396,Noord-Holland
0397,Noord-Holland
0246,Gelderland
0642,Zuid-Holland
1674,Noord-Brabant
0917,Limburg
1721,Noord-Brabant
1658,Noord-Brabant
0399,Noord-Holland
0589,Utrecht
0400,Noord-Holland
0794,Noord-Brabant
0498,Noord-Holland
0531,Zuid-Holland
0164,Overijssel
1669,Limburg
0957,Limburg
0796,Noord-Brabant
0252,Gelderland
0534,Zuid-Holland
0402,Noord-Holland
0267,Gelderland
1742,Overijssel
1667,Noord-Brabant
0873,Noord-Brabant
1884,Zuid-Holland
1842,Zuid-Holland
0406,Noord-Holland
0180,Overijssel
0353,Utrecht
0415,Noord-Holland
0880,Noord-Holland
0809,Noord-Brabant
0281,Gelderland
0678,Zeeland
0537,Zuid-Holland
0285,Gelderland
0986,Limburg
0542,Zuid-Holland
0451,Noord-Holland
0882,Limburg
0417,Noord-Holland
0546,Zuid-Holland
0547,Zuid-Holland
1916,Zuid-Holland
0995,Flevoland
0981,Limburg
0268,Gelderland
0946,Limburg
0847,Noord-Brabant
0335,Utrecht
0553,Zuid-Holland
0556,Zuid-Holland
0935,Limburg
1773,Overijssel
0944,Limburg
0439,Noord-Holland
1892,Zuid-Holland
0765,Groningen
0356,Utrecht
0575,Zuid-Holland
0820,Noord-Brabant
1991,Noord-Brabant
0579,Zuid-Holland
0823,Noord-Brabant
0718,Zeeland
0431,Noord-Holland
0716,Zeeland
0590,Zuid-Holland
0613,Zuid-Holland
0273,Gelderland
0339,Utrecht
0597,Zuid-Holland
0603,Zuid-Holland
0277,Gelderland
0840,Noord-Brabant
1525,Zuid-Holland
0279,Gelderland
0606,Zuid-Holland
0088,Friesland
0610,Zuid-Holland
0342,Utrecht
0848,Noord-Brabant
0867,Noord-Brabant
0988,Limburg
0450,Noord-Holland
0184,Flevoland
0858,Noord-Brabant
0345,Utrecht
0861,Noord-Brabant
0622,Zuid-Holland
0096,Friesland
0626,Zuid-Holland
0866,Noord-Brabant
0627,Zuid-Holland
0289,Gelderland
0301,Gelderland
0629,Zuid-Holland
0293,Gelderland
0294,Gelderland
0351,Utrecht
0050,Flevoland
0637,Zuid-Holland
0193,Overijssel
