"odata.type","ID","Position","ParentID","Type","Key","Title","Description","MapYear","Datatype","Unit","Decimals","Default","PresentationType"
"Cbs.OData.GeoDetail",0,0,,"GeoDetail","WijkenEnBuurten","Wijken en buurten","",2024,,,,,
"Cbs.OData.TopicGroup",1,,,"TopicGroup","","Regioaanduiding","De gemeenten in Nederland zijn onderverdeeld in wijken en buurten. Buurten vormen het laagste regionale niveau. Wijken zijn optellingen van één of meer aaneengesloten buurten. De gemeente bepaalt zelf de indeling in wijken en buurten. Het CBS coördineert landelijk deze indeling.

Wijk:
Onderdeel van een gemeente, bestaande uit één of meerdere buurten. Vaak komt een wijk overeen met een woonplaats of een deel van een grotere woonplaats.

Buurt:
Onderdeel van een wijk, die vanuit bebouwingsoogpunt of sociaaleconomische structuur homogeen is afgebakend. Homogeen wil zeggen dat één functie dominant is, bijvoorbeeld woonfunctie (woongebied), werkfunctie (industriegebied) of recreatieve functie (natuurgebied). Functies kunnen echter ook gemengd voorkomen.

",,,,,,
"Cbs.OData.Topic",2,1,1,"Topic","Gemeentenaam_1","Gemeentenaam","De naam van de bestuurlijke gemeente. Deze naam volgt de officiële schrijfwijze.",,"String","naam",0,"Impossible",""
"Cbs.OData.Topic",3,2,1,"Topic","SoortRegio_2","Soort regio","De gekozen regioaanduiding betreft: Gemeente, Wijk of Buurt.",,"String","omschrijving",0,"Impossible",""
"Cbs.OData.Topic",4,3,1,"Topic","Codering_3","Codering","Gemeentecode heeft 4 posities, voorafgegaan door ‘GM’.
Wijkcode heeft 6 posities: gemeentecode (4) + wijkcode (2), voorafgegaan door ‘WK’.
Buurtcode heeft 8 posities: gemeentecode (4) + wijkcode (2) + buurtcode (2), voorafgegaan door ‘BU’.",,"String","code",0,"Impossible",""
"Cbs.OData.Topic",5,4,1,"Topic","IndelingswijzigingGemeenteWijkBuurt_4","Indelingswijziging gemeente, wijk, buurt","Deze indicator geeft per gemeente, wijk en buurt aan of de cijfers uit deze tabel zonder problemen kunnen worden gekoppeld aan en vergeleken met de cijfers van een jaar eerder, of dat er wijzigingen in de gemeentelijke of Wijk- en Buurtindeling zijn waardoor dit niet kan. Detailinformatie over wijzigingen kan worden verkregen door de wijk- en buurtkaart van twee opeenvolgende jaren met elkaar te vergelijken. Mutaties van grenzen kunnen bijvoorbeeld worden veroorzaakt door verzoeken van gemeenten die mutaties in hun buurten en/of wijken doorgeven, maar ook kleinere kadastrale mutaties, gemeentelijke herindelingen of veranderingen van de door het CBS vastgestelde land-watergrens bij grote watergebieden zoals Noordzee, Wadden, IJsselmeer, Markeermeer en Ooster- en Westerschelde kunnen tot veranderingen leiden

De indicator kent drie mogelijke waarden:
1: De codering en afbakening van deze gemeente/wijk/buurt is ongewijzigd ten opzichte van het voorgaande jaar. Het is wel mogelijk dat een naamswijziging heeft plaatsgevonden. De cijfers kunnen worden gekoppeld en vergeleken met die van het voorgaande jaar.
2: De codering van de gemeente/wijk/buurt is veranderd ten opzichte van het voorgaande jaar. De afbakening is ongewijzigd. Om te kunnen koppelen met cijfers van het voorgaande jaar zal eerst moeten worden achterhaald wat de codering van het voorgaande jaar was. Is de koppeling eenmaal geslaagd dan kunnen de cijfers alsnog met elkaar worden vergeleken.
3: De afbakening van de gemeente/wijk/buurt is veranderd ten opzichte van het voorgaande jaar. Dit kan gepaard zijn gegaan met een gewijzigde codering. De cijfers kunnen niet zonder meer worden vergeleken met die van het voorgaande jaar. Verschillen kunnen immers samenhangen met de verandering in de afbakening van de gemeente, wijk of buurt.

Er worden alleen een wijzigingen in de afbakening geconstateerd wanneer een grens circa 5 meter of meer is verlegd. Kleinere grenswijzigingen worden niet als significant beschouwd.",,"String","code",0,"Impossible",""
"Cbs.OData.TopicGroup",6,,,"TopicGroup","","Bevolking","De bevolking van Nederland op 1 januari.

Bevolking:
De inwoners van Nederland.
In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. 
In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage.
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.

Om redenen van statistische geheimhouding zijn de aantallen op wijk- en buurtniveau aselect afgerond op veelvouden van 5. 
Bij aselect afronden wordt door loten bepaald of een getal naar boven of naar beneden wordt afgerond. De daarbij gehanteerde kansen zijn omgekeerd evenredig met de afrondverschillen. Gemiddeld wordt een getal hierdoor op zichzelf afgerond. Het gemiddelde afrondverschil per getal is evenwel groter dan het geval is bij afronding op het dichtstbijzijnde veelvoud van 5. Door afrondverschillen is de som van afgeronde getallen niet altijd gelijk aan de afgeronde som. Hierdoor kan het voorkomen dat wanneer een wijk uit één buurt bestaat of een gemeente uit één wijk, dit afgerond niet overeenkomt.

Het komt voor dat van inwoners wel bekend is binnen welke gemeente ze geregistreerd zijn, maar niet exact waar ze verblijven. Deze inwoners zijn daarom wel meegeteld in de gemeentecijfers, maar niet in de cijfers per wijk en buurt. De cijfers per gemeente kunnen daardoor afwijken van de onderliggende wijken of buurten, zelfs wanneer een gemeente slechts uit één wijk bestaat.
",,,,,,
"Cbs.OData.Topic",7,5,6,"Topic","AantalInwoners_5","Aantal inwoners",,,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",8,,6,"TopicGroup","","Geslacht",,,,,,,
"Cbs.OData.Topic",9,6,8,"Topic","Mannen_6","Mannen",,,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",10,7,8,"Topic","Vrouwen_7","Vrouwen",,,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",11,,6,"TopicGroup","","Leeftijdsgroepen",,,,,,,
"Cbs.OData.Topic",12,8,11,"Topic","k_0Tot15Jaar_8","0 tot 15 jaar","Aantal inwoners dat op 1 januari 0 tot 15 jaar oud is.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",13,9,11,"Topic","k_15Tot25Jaar_9","15 tot 25 jaar","Aantal inwoners dat op 1 januari 15 tot 25 jaar oud is.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",14,10,11,"Topic","k_25Tot45Jaar_10","25 tot 45 jaar","Aantal inwoners dat op 1 januari 25 tot 45 jaar oud is.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",15,11,11,"Topic","k_45Tot65Jaar_11","45 tot 65 jaar","Aantal inwoners dat op 1 januari 45 tot 65 jaar oud is.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",16,12,11,"Topic","k_65JaarOfOuder_12","65 jaar of ouder","Aantal inwoners dat op 1 januari 65 jaar of ouder is.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",17,,6,"TopicGroup","","Burgerlijke staat",,,,,,,
"Cbs.OData.Topic",18,13,17,"Topic","Ongehuwd_13","Ongehuwd","Het aantal inwoners dat op 1 januari ongehuwd is. De burgerlijke staat ongehuwd geeft aan dat een persoon nog nooit een huwelijk heeft gesloten of een geregistreerd partnerschap is aangegaan.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",19,14,17,"Topic","Gehuwd_14","Gehuwd","Het aantal inwoners dat op 1 januari gehuwd is. De burgerlijke staat gehuwd ontstaat na sluiting van een huwelijk of het aangaan van een geregistreerd partnerschap. Tot de gehuwden worden ook personen gerekend die gescheiden zijn van tafel en bed, want zij blijven formeel gehuwd.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",20,15,17,"Topic","Gescheiden_15","Gescheiden","Het aantal inwoners dat op 1 januari gescheiden is. De burgerlijke staat gescheiden ontstaat na ontbinding van een huwelijk door echtscheiding of na ontbinding van een geregistreerd partnerschap anders dan door het overlijden van de partner. Personen die gescheiden zijn van tafel en bed worden tot de gehuwden gerekend.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",21,16,17,"Topic","Verweduwd_16","Verweduwd","Het aantal inwoners dat op 1 januari verweduwd is. De burgerlijke staat verweduwd ontstaat na ontbinding van een huwelijk of geregistreerd partnerschap door overlijden van de partner.",,"Long","aantal",0,"Impossible","Absolute"
