"","nhood_id","population","area"
"1","BU16800000",3450,252
"2","BU16800009",150,1213
"3","BU16800100",1270,170
"4","BU16800109",180,1614
"5","BU16800200",325,57
"6","BU16800209",65,757
"7","BU16800300",390,54
"8","BU16800309",15,851
"9","BU16800400",225,43
"10","BU16800409",25,1061
"11","BU16800500",550,96
"12","BU16800509",60,489
"13","BU16800600",460,127
"14","BU16800609",25,515
"15","BU16800700",145,22
"16","BU16800709",0,15
"17","BU16800800",100,46
"18","BU16800809",10,317
"19","BU16800900",115,27
"20","BU16800909",5,170
"21","BU16801100",395,58
"22","BU16801109",5,263
"23","BU16801200",230,60
"24","BU16801209",5,216
"25","BU16801300",100,74
"26","BU16801309",35,586
"27","BU16801400",1560,334
"28","BU16801401",130,54
"29","BU16801409",205,1545
"30","BU16801500",1795,197
"31","BU16801501",45,37
"32","BU16801509",0,353
"33","BU16801600",630,228
"34","BU16801601",45,55
"35","BU16801609",10,878
"36","BU16801700",4805,407
"37","BU16801709",155,2054
"38","BU16801800",680,66
"39","BU16801801",105,61
"40","BU16801802",265,104
"41","BU16801809",190,1456
"42","BU16801900",3710,333
"43","BU16801901",160,49
"44","BU16801902",60,23
"45","BU16801903",90,49
"46","BU16801908",760,920
"47","BU16801909",140,2128
"48","BU16802000",645,76
"49","BU16802001",185,72
"50","BU16802008",250,596
"51","BU16802009",225,4421
"52","BU16802100",270,37
"53","BU16802101",95,47
"54","BU16802109",155,1870
"55","BU03580000",3030,53
"56","BU03580001",6835,184
"57","BU03580004",2645,259
"58","BU03580005",885,206
"59","BU03580100",9225,435
"60","BU03580200",945,154
"61","BU03580201",1275,209
"62","BU03580205",7740,265
"63","BU03580206",485,245
"64","BU01970101",120,4
"65","BU01970102",470,745
"66","BU01970103",350,757
"67","BU01970104",490,896
"68","BU01970105",160,11
"69","BU01970106",170,10
"70","BU01970107",255,485
"71","BU01970108",665,1331
"72","BU01970109",105,660
"73","BU01970110",655,754
"74","BU01970111",545,1124
"75","BU01970112",90,5
"76","BU01970201",215,594
"77","BU01970202",195,136
"78","BU01970203",75,201
"79","BU01970204",1475,57
"80","BU01970301",1995,54
"81","BU01970302",2395,162
"82","BU01970303",1455,65
"83","BU01970304",2750,89
"84","BU01970305",995,42
"85","BU01970306",1010,32
"86","BU01970307",2330,69
"87","BU01970400",2875,87
"88","BU01970401",1740,61
"89","BU01970402",2350,126
"90","BU01970403",370,23
"91","BU01970408",270,170
"92","BU01970409",675,905
"93","BU00590000",5200,249
"94","BU00590001",1000,186
"95","BU00590002",2125,125
"96","BU00590003",1560,126
"97","BU00590004",715,62
"98","BU00590005",705,1594
"99","BU00590006",95,709
"100","BU00590007",355,608
"101","BU00590008",235,469
"102","BU00590009",70,496
"103","BU00590100",245,30
"104","BU00590102",1485,123
"105","BU00590103",1020,101
"106","BU00590107",70,238
"107","BU00590108",195,889
"108","BU00590109",185,622
"109","BU00590200",5675,315
"110","BU00590201",4010,248
"111","BU00590202",870,97
"112","BU00590203",735,66
"113","BU00590206",425,442
"114","BU00590207",310,401
"115","BU00590208",395,1390
"116","BU00590209",465,633
"117","BU04820101",980,21
"118","BU04820102",655,10
