"","nhood_id","population"
"1","BU16800000",3455
"2","BU16800009",140
"3","BU16800100",1285
"4","BU16800109",175
"5","BU16800200",330
"6","BU16800209",65
"7","BU16800300",375
"8","BU16800309",10
"9","BU16800400",225
"10","BU16800409",30
"11","BU16800500",555
"12","BU16800509",60
"13","BU16800600",450
"14","BU16800609",25
"15","BU16800700",145
"16","BU16800709",0
"17","BU16800800",100
"18","BU16800809",10
"19","BU16800900",115
"20","BU16800909",5
"21","BU16801100",405
"22","BU16801109",5
"23","BU16801200",235
"24","BU16801209",0
"25","BU16801300",95
"26","BU16801309",30
"27","BU16801400",1540
"28","BU16801401",135
"29","BU16801409",195
"30","BU16801500",1815
"31","BU16801501",45
"32","BU16801509",0
"33","BU16801600",625
"34","BU16801601",40
"35","BU16801609",5
"36","BU16801700",4775
"37","BU16801709",190
"38","BU16801800",685
"39","BU16801801",105
"40","BU16801802",270
"41","BU16801809",200
"42","BU16801900",3680
"43","BU16801901",160
"44","BU16801902",60
"45","BU16801903",80
"46","BU16801908",845
"47","BU16801909",145
"48","BU16802000",640
"49","BU16802001",185
"50","BU16802008",355
"51","BU16802009",230
"52","BU16802100",265
"53","BU16802101",105
"54","BU16802109",160
"55","BU03580000",2990
"56","BU03580001",7020
"57","BU03580004",2720
"58","BU03580005",855
"59","BU03580100",9260
"60","BU03580200",975
"61","BU03580201",1215
"62","BU03580205",7790
"63","BU03580206",460
"64","BU01970101",110
"65","BU01970102",480
"66","BU01970103",340
"67","BU01970104",495
"68","BU01970105",160
"69","BU01970106",170
"70","BU01970107",250
"71","BU01970108",675
"72","BU01970109",100
"73","BU01970110",620
"74","BU01970111",550
"75","BU01970112",90
"76","BU01970201",220
"77","BU01970202",190
"78","BU01970203",70
"79","BU01970204",1470
"80","BU01970301",2015
"81","BU01970302",2370
"82","BU01970303",1490
"83","BU01970304",2765
"84","BU01970305",995
"85","BU01970306",1015
"86","BU01970307",2340
"87","BU01970400",2890
"88","BU01970401",1750
"89","BU01970402",2370
"90","BU01970403",365
"91","BU01970408",265
"92","BU01970409",665
"93","BU00590000",5230
"94","BU00590001",1020
"95","BU00590002",2120
"96","BU00590003",1585
"97","BU00590004",725
"98","BU00590005",710
"99","BU00590006",95
"100","BU00590007",350
"101","BU00590008",230
"102","BU00590009",70
"103","BU00590100",240
"104","BU00590102",1480
"105","BU00590103",1030
"106","BU00590107",65
"107","BU00590108",190
"108","BU00590109",195
"109","BU00590200",5715
"110","BU00590201",4030
"111","BU00590202",840
"112","BU00590203",750
"113","BU00590206",415
"114","BU00590207",305
"115","BU00590208",380
"116","BU00590209",455
"117","BU04820101",980
"118","BU04820102",635
