naam,nummer,bevolking,misdaad,buurten,gini_misdaad,provincie
's-Gravenhage,0518,566175,28524,114,0.47,Zuid-Holland
's-Hertogenbosch,0796,160765,7227,108,0.64,Noord-Brabant
Aa en Hunze,1680,25860,491,54,0.77,Drenthe
Aalsmeer,0358,33285,797,9,0.46,Noord-Holland
Aalten,0197,27285,344,29,0.62,Gelderland
Achtkarspelen,0059,28225,442,24,0.7,Friesland
Alblasserdam,0482,20325,389,29,0.54,Zuid-Holland
Albrandswaard,0613,26440,867,26,0.5,Zuid-Holland
Alkmaar,0361,112325,4587,66,0.58,Noord-Holland
Almelo,0141,74305,3286,71,0.52,Overijssel
Almere,0034,226425,6945,238,0.56,Flevoland
Alphen aan den Rijn,0484,114950,2875,100,0.51,Zuid-Holland
Alphen-Chaam,1723,10455,218,19,0.43,Noord-Brabant
Altena,1959,58255,1094,63,0.58,Noord-Brabant
Ameland,0060,3845,78,7,0.4,Friesland
Amersfoort,0307,161825,6405,145,0.51,Utrecht
Amstelveen,0362,95015,3115,47,0.36,Noord-Holland
Amsterdam,0363,931300,69225,517,0.5,Noord-Holland
Apeldoorn,0200,168225,5428,95,0.6,Gelderland
Arnhem,0202,167635,8786,83,0.49,Gelderland
Assen,0106,69720,3131,109,0.63,Drenthe
Asten,0743,17300,492,28,0.55,Noord-Brabant
Baarle-Nassau,0744,7065,175,10,0.69,Noord-Brabant
Baarn,0308,25065,767,21,0.52,Utrecht
Barendrecht,0489,48700,1307,62,0.49,Zuid-Holland
Barneveld,0203,62600,1140,47,0.59,Gelderland
Beek (L.),0888,16215,534,8,0.79,Limburg
Beekdaelen,1954,35905,722,29,0.53,Limburg
Beesel,0889,13390,272,8,0.75,Limburg
Berg en Dal,1945,35490,959,41,0.57,Gelderland
Bergeijk,1724,19215,393,59,0.5,Noord-Brabant
Bergen (L.),0893,13145,268,16,0.58,Limburg
Bergen (NH.),0373,29940,711,36,0.53,Noord-Holland
Bergen op Zoom,0748,69680,2789,38,0.52,Noord-Brabant
Berkelland,1859,43945,734,72,0.46,Gelderland
Bernheze,1721,32535,579,53,0.51,Noord-Brabant
Best,0753,31215,881,19,0.48,Noord-Brabant
Beuningen,0209,26730,469,44,0.53,Gelderland
Beverwijk,0375,42880,1438,36,0.49,Noord-Holland
Bladel,1728,20985,385,25,0.4,Noord-Brabant
Blaricum,0376,12725,257,9,0.74,Noord-Holland
Bloemendaal,0377,23780,751,22,0.6,Noord-Holland
Bodegraven-Reeuwijk,1901,36575,1163,54,0.63,Zuid-Holland
Boekel,0755,11300,226,8,0.54,Noord-Brabant
Borger-Odoorn,1681,26015,427,58,0.49,Drenthe
Borne,0147,24655,580,15,0.58,Overijssel
Borsele,0654,23115,306,32,0.64,Zeeland
Boxtel,0757,33975,912,19,0.73,Noord-Brabant
Breda,0758,188080,8523,56,0.5,Noord-Brabant
Bronckhorst,1876,36125,459,45,0.66,Gelderland
Brummen,0213,21305,425,39,0.6,Gelderland
Brunssum,0899,27765,883,45,0.49,Limburg
Bunnik,0312,16115,312,8,0.6,Utrecht
Bunschoten,0313,22630,404,10,0.5,Utrecht
Buren,0214,27765,450,39,0.58,Gelderland
Capelle aan den IJssel,0502,67920,1913,79,0.49,Zuid-Holland
Castricum,0383,36370,954,19,0.51,Noord-Holland
Coevorden,0109,35710,847,68,0.7,Drenthe
Cranendonck,1706,20855,819,20,0.72,Noord-Brabant
Culemborg,0216,29935,646,20,0.38,Gelderland
Dalfsen,0148,29685,358,36,0.44,Overijssel
Dantumadiel,1891,19140,225,17,0.75,Friesland
De Bilt,0310,43695,1446,24,0.56,Utrecht
De Fryske Marren,1940,51940,821,70,0.65,Friesland
De Ronde Venen,0736,45815,915,25,0.45,Utrecht
De Wolden,1690,24560,347,40,0.72,Drenthe
Delft,0503,109590,4455,91,0.53,Zuid-Holland
Den Helder,0400,56440,2487,65,0.54,Noord-Holland
Deurne,0762,33175,897,29,0.52,Noord-Brabant
Deventer,0150,103420,3912,69,0.57,Overijssel
Diemen,0384,32965,1298,37,0.52,Noord-Holland
